adTitle,price,description,userId,location,category,date,images,_id
Rogue Starter Acoustic Guitar Red Burst,5400,"About this product
Product Identifiers
Brand
Rogue
MPN
SO069RAGR
Ean
0840246015198
GTIN
0840246015198
UPC
0840246015198
eBay Product ID (ePID)
10027565671
Product Key Features
Size
7/8
Handedness
Right-Handed
Type
Acoustic Guitar
Body Material
Spruce
String Configuration
6 String
Dimensions
Weight
4.8lbs.",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc5b3ee1cf246e6f34
88 Key Beginner Digital Piano / Keyboard with Full Size Semi Weighted Keys,5400,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Brand:
SEGAWE
MPN:
segaweshop-Y01-2426A
Number of Keys:
88 Keys
Instrument:
Electronic Keyboard
Single white key:
15.2 * 2.2cm, 52 keys in total
Single black key:
9.5 * 1cm, 36 keys in total
Music stand area:
30.5 * 18cm
Speaker area:
14 * 6cm
Body size:
132.5 * 28 * 11.5cm
Total length of key:
123cm
UPC:
630148204758",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dcac6704463a6a8151
"38"" Acoustic Guitar Bundle Instrument Design With Guitar Case, Strap Blue New",5400,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
String Configuration:
6 String
Model:
GF28742
Country/Region of Manufacture:
China
Type:
Acoustic Guitar
MPN:
GF28742
Dexterity:
Left or Right
UPC:
6940015398157
Body Material:
Basswood
Brand:
Polar Aurora
Set Includes:
Gig Bag, Strap
Body Type:
38""Standard",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc8685afe34460c38d
New ListingJHS MGV4 Morning Glory V4 Overdrive Guitar Effects Pedal,5400,"About this product
Product Identifiers
Brand
JHS|JHS Pedals
MPN
JHS MGV4, MGV4
UPC
0650415210756, 0637390553047, 0617428777027
Model
MGV4
eBay Product ID (ePID)
4041061070
Product Key Features
Type
Overdrive
Dimensions
Weight
0.99lbs.",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dcdcd7af7dcd9ffc23
38-inch Beginner Acoustic Guitar Package - Starter Bundle Kit & Accessories,5400,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Brand:
Ashthorpe
Type:
Beginner Acoustic Guitar
MPN:
Does Not Apply
Item-Package-Quantity:
1",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc1e9b84cc8d772da3
NEW TELE STYLE 6 STRING GOLD HARDWARE FLAME MAPLE BINDING ELECTRIC GUITAR,5400,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Size:
Full Size
Body Color:
White
String Configuration:
6 String
Model:
Custom
Custom Bundle:
No
Model Year:
2021
Series:
Standard
Type:
Electric Guitar
Fretboard Material:
Rosewood
Number of Frets:
21
Neck Material:
Maple
MPN:
SST 01 MF
Non-Domestic Product:
No
Dexterity:
Right-Handed
Modified Item:
No
Handedness:
Right-Handed
Body Material:
Solid Wood, Empress
Brand:
COZART
Set Includes:
Cable
Body Type:
Semi-Hollow
UPC:
Does not apply",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dcdd50ec4c9fe27f43
"Musician's Gear Electric, Acoustic and Bass Guitar Stand Black",5400,"About this product
Product Information
This Musician's Gear Electric, Acoustic and Bass Guitar Stand in black is a professional quality stand designed to keep a variety of musical instruments safe. Perfect for use in the home, at the studio, and even on stage, this stand is extremely versatile. Additionally, the rugged materials and foldable design of the SSG-303 BK-MG stand from Musician's Gear mean it can be easily transported between venues when touring.
Product Identifiers
Brand
Musician's Gear
MPN
SSG303BKMG
GTIN
0886830754777
UPC
0886830754777
eBay Product ID (ePID)
530092824
Product Key Features
Suitable For
Guitar
Type
Stand",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc36754b8b20c04cf9
LEGO - Musical Instruments - PICK YOUR ITEMS - Rock Band Minifigure Accessories,5400,"Item specifics
Condition:
Used:
An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitions
opens in a new window or tab
Seller Notes:
“Lot includes mostly brand new parts as well as parts in very good used condition.”
Non-Domestic Product:
No
Modified Item:
No
Brand:
LEGO",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc67cf82a34d0c8179
NEW DOUBLE NECK BASS/GUITAR 4/6 STRING EBC STYLE ELECTRIC GUITAR & HARD CASE,5400,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Body Type:
Solid
Size:
4/4
Body Color:
Red
Neck Material:
Mah
MPN:
sbd10-natural
Set Includes:
Cable
Brand:
Cozart
Series:
Vintage
Handedness:
Right-Handed
Model Year:
2021
Type:
Electric Guitar
Body Material:
Mah
Performance Level:
Professional
String Configuration:
4/6
Fretboard Material:
Rosewood
Model:
Custom
UPC:
Does not apply",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dc1059228ab4f2257d
Rogue RA-090 Dreadnought Acoustic Guitar Natural,5400,"About this product
Product Identifiers
Brand
Rogue
MPN
SO-069-RA090-NA
Ean
0840246031662
GTIN
0888365310978, 0840246031662, 0888365311142, 0840246031679, 0888365311227, 0888365310985
Model
RA-090
eBay Product ID (ePID)
19029958747
Product Key Features
Size
Full-Size
Handedness
Right-Handed
Model Year
2014
Body Type
Dreadnought
Type
Acoustic Guitar
Body Material
Maple
String Configuration
6 String
Dimensions
Weight
4.5lbs.",626145af81bf2a3686a4894d,Biratnagar,musicInstruments,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651815328/DEV/1651815323664.jpg,626281dcf69634067b3ce769
